paper,figure,panel,experiment,sample,condition,method,metric,value,unit,extraction,source_path,note,approximate,uncertainty
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 8,b,"corner-distance sweep, fixed reference pattern",Fig. 3(c) carrier image,distance=3 mm; beta approximately 9.81e-3 mm^-1,fixed_reference,PSNR,30.7,dB,manual_digitized_from_rendered_page,results\paper_figures\oe_pages\oe-11.png,,True,0.4
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 8,b,"corner-distance sweep, fixed reference pattern",Fig. 3(c) carrier image,distance=5 mm; beta approximately 9.81e-3 mm^-1,fixed_reference,PSNR,34.0,dB,manual_digitized_from_rendered_page,results\paper_figures\oe_pages\oe-11.png,,True,0.4
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 8,b,"corner-distance sweep, fixed reference pattern",Fig. 3(c) carrier image,distance=10 mm; beta approximately 9.81e-3 mm^-1,fixed_reference,PSNR,37.7,dB,manual_digitized_from_rendered_page,results\paper_figures\oe_pages\oe-11.png,,True,0.4
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 8,b,"corner-distance sweep, fixed reference pattern",Fig. 3(c) carrier image,distance=15 mm; beta approximately 9.81e-3 mm^-1,fixed_reference,PSNR,37.8,dB,manual_digitized_from_rendered_page,results\paper_figures\oe_pages\oe-11.png,,True,0.4
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 8,b,"corner-distance sweep, fixed reference pattern",Fig. 3(c) carrier image,distance=20 mm; beta approximately 9.81e-3 mm^-1,fixed_reference,PSNR,38.5,dB,manual_digitized_from_rendered_page,results\paper_figures\oe_pages\oe-11.png,,True,0.4
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 8,b,"corner-distance sweep, fixed reference pattern",Fig. 3(c) carrier image,distance=25 mm; beta approximately 9.81e-3 mm^-1,fixed_reference,PSNR,39.0,dB,manual_digitized_from_rendered_page,results\paper_figures\oe_pages\oe-11.png,,True,0.4
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 8,b,"corner-distance sweep, fixed reference pattern",Fig. 3(c) carrier image,distance=3 mm; beta approximately 9.81e-3 mm^-1,fixed_reference,SSIM,0.99,a.u.,manual_digitized_from_rendered_page,results\paper_figures\oe_pages\oe-11.png,,True,0.002
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 8,b,"corner-distance sweep, fixed reference pattern",Fig. 3(c) carrier image,distance=5 mm; beta approximately 9.81e-3 mm^-1,fixed_reference,SSIM,0.992,a.u.,manual_digitized_from_rendered_page,results\paper_figures\oe_pages\oe-11.png,,True,0.002
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 8,b,"corner-distance sweep, fixed reference pattern",Fig. 3(c) carrier image,distance=10 mm; beta approximately 9.81e-3 mm^-1,fixed_reference,SSIM,0.991,a.u.,manual_digitized_from_rendered_page,results\paper_figures\oe_pages\oe-11.png,,True,0.002
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 8,b,"corner-distance sweep, fixed reference pattern",Fig. 3(c) carrier image,distance=15 mm; beta approximately 9.81e-3 mm^-1,fixed_reference,SSIM,0.996,a.u.,manual_digitized_from_rendered_page,results\paper_figures\oe_pages\oe-11.png,,True,0.002
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 8,b,"corner-distance sweep, fixed reference pattern",Fig. 3(c) carrier image,distance=20 mm; beta approximately 9.81e-3 mm^-1,fixed_reference,SSIM,0.995,a.u.,manual_digitized_from_rendered_page,results\paper_figures\oe_pages\oe-11.png,,True,0.002
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 8,b,"corner-distance sweep, fixed reference pattern",Fig. 3(c) carrier image,distance=25 mm; beta approximately 9.81e-3 mm^-1,fixed_reference,SSIM,0.995,a.u.,manual_digitized_from_rendered_page,results\paper_figures\oe_pages\oe-11.png,,True,0.002
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 8,a,"corner-distance sweep, no reference pattern",Fig. 3(c) carrier image,distance=3 mm; beta approximately 9.81e-3 mm^-1,without_reference,PSNR,9.2,dB,manual_digitized_from_rendered_page,results\paper_figures\oe_pages\oe-11.png,,True,0.4
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 8,a,"corner-distance sweep, no reference pattern",Fig. 3(c) carrier image,distance=5 mm; beta approximately 9.81e-3 mm^-1,without_reference,PSNR,8.9,dB,manual_digitized_from_rendered_page,results\paper_figures\oe_pages\oe-11.png,,True,0.4
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 8,a,"corner-distance sweep, no reference pattern",Fig. 3(c) carrier image,distance=10 mm; beta approximately 9.81e-3 mm^-1,without_reference,PSNR,11.7,dB,manual_digitized_from_rendered_page,results\paper_figures\oe_pages\oe-11.png,,True,0.4
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 8,a,"corner-distance sweep, no reference pattern",Fig. 3(c) carrier image,distance=15 mm; beta approximately 9.81e-3 mm^-1,without_reference,PSNR,12.4,dB,manual_digitized_from_rendered_page,results\paper_figures\oe_pages\oe-11.png,,True,0.4
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 8,a,"corner-distance sweep, no reference pattern",Fig. 3(c) carrier image,distance=20 mm; beta approximately 9.81e-3 mm^-1,without_reference,PSNR,14.1,dB,manual_digitized_from_rendered_page,results\paper_figures\oe_pages\oe-11.png,,True,0.4
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 8,a,"corner-distance sweep, no reference pattern",Fig. 3(c) carrier image,distance=25 mm; beta approximately 9.81e-3 mm^-1,without_reference,PSNR,16.3,dB,manual_digitized_from_rendered_page,results\paper_figures\oe_pages\oe-11.png,,True,0.4
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 8,a,"corner-distance sweep, no reference pattern",Fig. 3(c) carrier image,distance=3 mm; beta approximately 9.81e-3 mm^-1,without_reference,SSIM,0.57,a.u.,manual_digitized_from_rendered_page,results\paper_figures\oe_pages\oe-11.png,,True,0.02
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 8,a,"corner-distance sweep, no reference pattern",Fig. 3(c) carrier image,distance=5 mm; beta approximately 9.81e-3 mm^-1,without_reference,SSIM,0.53,a.u.,manual_digitized_from_rendered_page,results\paper_figures\oe_pages\oe-11.png,,True,0.02
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 8,a,"corner-distance sweep, no reference pattern",Fig. 3(c) carrier image,distance=10 mm; beta approximately 9.81e-3 mm^-1,without_reference,SSIM,0.75,a.u.,manual_digitized_from_rendered_page,results\paper_figures\oe_pages\oe-11.png,,True,0.02
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 8,a,"corner-distance sweep, no reference pattern",Fig. 3(c) carrier image,distance=15 mm; beta approximately 9.81e-3 mm^-1,without_reference,SSIM,0.78,a.u.,manual_digitized_from_rendered_page,results\paper_figures\oe_pages\oe-11.png,,True,0.02
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 8,a,"corner-distance sweep, no reference pattern",Fig. 3(c) carrier image,distance=20 mm; beta approximately 9.81e-3 mm^-1,without_reference,SSIM,0.86,a.u.,manual_digitized_from_rendered_page,results\paper_figures\oe_pages\oe-11.png,,True,0.02
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 8,a,"corner-distance sweep, no reference pattern",Fig. 3(c) carrier image,distance=25 mm; beta approximately 9.81e-3 mm^-1,without_reference,SSIM,0.91,a.u.,manual_digitized_from_rendered_page,results\paper_figures\oe_pages\oe-11.png,,True,0.02
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 9,b/d/f,"32nd row profile at selected corner distances, fixed reference pattern",Fig. 3(c) carrier image,distance=3 mm,fixed_reference,PSNR,33.16,dB,exact_caption_from_pdf,results\paper_figures\oe_pages\oe-11.png,,False,
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 9,b/d/f,"32nd row profile at selected corner distances, fixed reference pattern",Fig. 3(c) carrier image,distance=10 mm,fixed_reference,PSNR,37.71,dB,exact_caption_from_pdf,results\paper_figures\oe_pages\oe-11.png,,False,
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 9,b/d/f,"32nd row profile at selected corner distances, fixed reference pattern",Fig. 3(c) carrier image,distance=20 mm,fixed_reference,PSNR,40.98,dB,exact_caption_from_pdf,results\paper_figures\oe_pages\oe-11.png,,False,
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 9,a/c/e,"32nd row profile at selected corner distances, no reference pattern",Fig. 3(c) carrier image,distance=3 mm,without_reference,PSNR,10.5,dB,exact_caption_from_pdf,results\paper_figures\oe_pages\oe-11.png,,False,
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 9,a/c/e,"32nd row profile at selected corner distances, no reference pattern",Fig. 3(c) carrier image,distance=10 mm,without_reference,PSNR,13.31,dB,exact_caption_from_pdf,results\paper_figures\oe_pages\oe-11.png,,False,
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 9,a/c/e,"32nd row profile at selected corner distances, no reference pattern",Fig. 3(c) carrier image,distance=20 mm,without_reference,PSNR,15.09,dB,exact_caption_from_pdf,results\paper_figures\oe_pages\oe-11.png,,False,
